2635.json,FALSE,Says the Annies List political group supports third-trimester abortions on demand.,abortion,dwayne-bohac,State representative,Texas,republican,0,1,0,0,0,a mailer,"<p> Rep. Dwayne Bohac&#39;s campaign, <a href=""http://alt.coxnewsweb.com/statesman/politifact/102010_bohacmailer.pdf"">mailer</a></p> <p> Annie&#39;s List website, &quot;<a href=""http://www.annieslist.com/whoweare.aspx"">Who We Are</a>,&quot; accessed Oct. 13, 2010</p> <p> Interview with Robert Jones, political director, Annie&#39;s List, Oct. 8, 2010</p> <p> EMILY&#39;s List website, &quot;<a href=""http://emilyslist.org/who/mission/"">Our Mission</a>,&quot; accessed Oct. 13, 2010</p> <p> Texas Ethics Commission, Kendra Yarbrough Camarena&#39;s <a href=""http://www.ethics.state.tx.us/php/filer.php?acct=00065547coh"">campaign finance reports</a>, accessed Oct. 18, 2010</p> <p> New York Times, &quot;<a href=""http://www.nytimes.com/2007/04/19/washington/19scotus.html"">Justices Back Ban on Method of Abortion</a>,&quot; April 19, 2007</p> <p> Interview with Elizabeth Nash, public policy associate, Guttmacher Institute, Oct. 14, 2010</p> <p> E-mail interview with Elizabeth Nash, public policy associate, Guttmacher Institute, Oct. 19, 2010</p> <p> Guttmacher Institute, &quot;<a href=""http://www.guttmacher.org/pubs/fb_induced_abortion.html"">Facts on Induced Abortion in the United States</a>,&quot; May 2010</p> <p> Texas Department of State Health Services, &quot;<a href=""http://www.dshs.state.tx.us/chs/vstat/vs08/t36.shtm"">Induced terminations of pregnancy by procedure and length of gestation &mdash; 2008</a>,&quot; accessed Oct. 15, 2010</p> <p> <a href=""http://alt.coxnewsweb.com/statesman/politifact/101910_norfleetemail.pdf"">E-mail</a> from Keats Norfleet, political consultant, Oct. 7, 2010</p> <p> Annie&#39;s List, &quot;<a href=""http://www.annieslist.com/whatwedo.aspx"">What We Do</a>,&quot; accessed Oct. 12, 2010</p> <p> Annie&#39;s List, &quot;<a href=""http://www.annieslist.com/WhyWeDoIt.aspx"">Why We Do It</a>,&quot; accessed Oct. 12, 2010</p> <p> <a href=""http://alt.coxnewsweb.com/statesman/politifact/101910_jonesemail.pdf"">E-mail</a> from Robert Jones, political director, Annie&#39;s List, Oct. 14, 2010</p> <p> Guttmacher Institute, &quot;<a href=""http://alt.coxnewsweb.com/statesman/politifact/101910_guttdoc.pdf"">State policies on later-term abortions</a>,&quot; Oct. 1, 2010</p> <p> Texas Health and Safety Code, &quot;<a href=""http://www.statutes.legis.state.tx.us/Docs/HS/htm/HS.170.htm#170.002"">Prohibited Acts Regarding Abortion</a>,&quot; accessed Oct. 13, 2010</p> <p> Texas Occupations Code, &quot;<a href=""http://www.statutes.legis.state.tx.us/Docs/OC/htm/OC.164.htm"">Prohibited Practices by Physician or License</a>,&quot; accessed Oct. 13, 2010</p> <p> Austin American-Statesman, &quot;<a href=""http://alt.coxnewsweb.com/statesman/politifact/101910_aas.pdf"">Capitol Roundup</a>,&quot; May 18, 2005</p> <p> <a href=""http://alt.coxnewsweb.com/statesman/politifact/101910_clevelandemail.pdf"">E-mails</a> from Sara Cleveland, executive director, NARAL Pro-Choice Texas, Oct. 18, 2010</p> <p> Interview with Joe Pojman, executive director, Texas Alliance for Life, Oct. 18, 2010</p> <p> House Journal, <a href=""http://alt.coxnewsweb.com/statesman/politifact/101910_vote.pdf"">record vote</a> on Amendment No. 2 to CSSB 419, May 16, 2005</p> <p> Texas Legislature Online, <a href=""http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&amp;Bill=SB419"">Senate Bill 419</a>, 2005 legislative session</p>"
10540.json,half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",scott-surovell,State delegate,Virginia,democrat,0,0,1,1,0,a floor speech.,"<p>Del. Scott Surovell&rsquo;s floor <a href=""https://www.youtube.com/watch?v=f4D_2otUVUg"" style=""text-decoration:none;""><u>speech</u></a>, Feb. 4, 2015.</p> <p>Emails from Scott Surovell, Feb. 13 and Feb. 18, 2015.</p> <p>Energy Information Administration, <a href=""http://www.eia.gov/todayinenergy/detail.cfm?id=7090"" style=""text-decoration:none;""><u>&quot;Competition among fuels for power generation driven by changes in fuels,&quot;</u></a> July 13, 2012.</p> <p>The Analysis Group, <a href=""http://www.analysisgroup.com/uploadedFiles/News_and_Events/News/2012_Tierney_WhyCoalPlantsRetire.pdf"" style=""text-decoration:none;""><u>&quot;Why coal plants retire: Power market fundamentals as of 2012,&quot;</u></a> Feb. 16, 2012.</p> <p>Federal Reserve Bank of Kansas City, <a href=""https://www.kansascityfed.org/publicat/mse/MSE_0214.pdf"" style=""text-decoration:none;""><u>&quot;U.S. electricity prices in the wake of growing natural gas production,&quot;</u></a> 2014.</p> <p>Email from Michael Webber, deputy director of the Energy Institute at the University of Texas, Feb. 18, 2015.</p> <p>Email from Dallas Burtraw, director of the Center for Climate and Electricity Policy, Feb. 18, 2015.</p> <p>Email from Kenneth B. Medlock, senior director at the Center for Energy Studies at Rice University, Feb. 18, 2015.</p> <p>Email from Jonathan Cogan, spokesman for the Energy Information Administration, Feb. 18, 2014.</p> <p>Energy Information Administration, <a href=""http://www.eia.gov/beta/MER/index.cfm?tbl=T04.01#/?f=A&amp;start=1949&amp;end=2013&amp;charted=1"" style=""text-decoration:none;""><u>Natural Gas Overview</u></a>, accessed Feb. 19, 2015.</p> <p>Energy Information Administration,<a href=""http://www.eia.gov/beta/MER/index.cfm?tbl=T09.09#/?f=A&amp;start=1973&amp;end=2013&amp;charted=0-6"" style=""text-decoration:none;""><u> &quot;Cost of fossil fuel receipts at electric generating plants,&quot;</u></a> accessed Feb. 19, 2015.</p> <p>Energy Information Administration, <a href=""http://www.eia.gov/beta/MER/index.cfm?tbl=T06.01#/?f=A"" style=""text-decoration:none;""><u>&quot;Coal overview,&quot;</u></a> accessed Feb. 20, 2015.</p> <p>PolitiFact, <a href=""http://www.politifact.com/truth-o-meter/article/2014/aug/14/fact-checks-obama-coal-rules-carbon-politics/"" style=""text-decoration:none;""><u>&quot;Fact-checking Obama&rsquo;s rules on carbon and coal plants,&quot;</u></a> &nbsp;Aug. 14, 2014.</p> <p>PolitiFact, <a href=""http://www.politifact.com/truth-o-meter/statements/2014/aug/07/shelley-moore-capito/will-epa-regulations-stop-plants-burning-coal-shel/"" style=""text-decoration:none;""><u>&quot;Will EPA regulations stop plants from burning coal, like Shelley Moore Capito says?&quot; </u></a>Aug. 7, 2014.</p> <p>World Resources Institute, <a href=""http://pdf.wri.org/factsheets/factsheet_us_electricity_markets_favor_alternatives_to_coal.pdf"" style=""text-decoration:none;""><u>&quot;U.S. electricity markets increasingly favor alternatives to coal,&quot;</u></a> 2012.</p> <p>Mother Jones, <a href=""http://www.motherjones.com/environment/2012/04/history-of-natural-gas-fracking"" style=""text-decoration:none;""><u>&quot;History of natural gas fracking,&quot;</u></a> April 2, 2012.</p>"
324.json,mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,Denver,"Barack Obama campaign Web site, <a href=""http://www.barackobama.com/2008/01/30/remarks_of_senator_barack_obam_45.php""> The Past Versus the Future </a> , Jan. 30, 2008 <p> Hillary Clinton campaign Web site, <a href=""http://facts.hillaryhub.com/archive/?id=5603""> Sen. Obama's speech in Denver will contain four misleading attacks on Hillary in one sentence </a> , Jan. 30, 2007 </p> <p> U.S. Senate, <a href=""http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&amp;session=1&amp;vote=00349""> Roll call vote on Kyl-Lieberman Amendment </a> , Sept. 26, 2007 </p> <p> Library of Congress, <a href=""http://thomas.loc.gov/cgi-bin/bdquery/z?d110:SP03017:@@@P""> Co-sponsors of the Kyl-Lieberman Amendment </a> </p> <p> Library of Congress, <a href="" http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s759:""> A bill to prohibit the use of funds for military operations in Iran </a> </p> <p> PolitiFact.com, <a href=""http://www.politifact.com/truth-o-meter/article/2007/oct/29/blank-check-brouhaha/""> The Blank Check Brouhaha </a> , Oct. 29, 2007 </p> <p> This Week with George Stephanopoulos, Interview with John McCain, Oct. 28, 2007. </p> <p> </p>"
1123.json,FALSE,Health care reform legislation is likely to mandate free sex change surgeries.,health-care,blog-posting,,,none,7,19,3,5,44,a news release,"<p> News release attributed to Matt Barber, &ldquo; <a href=""http://www.chronwatch-america.com/articles/5337/1/ObamaCare-Likely-to-Approve-Free-Sex-change-Surgeries/Page1.html"" target=""_blank""> ObamaCare Likely to Mandate Free &lsquo;Sex Change&rsquo; Surgeries </a> ,&rdquo; Aug. 4, 2009 <br /> <br /> Exchange between Sens. Orrin Hatch and Barbara Mikulski, C-SPAN <a href=""http://www.frc.org/get.cfm?i=WA09G23"" target=""_blank""> web video </a> , July 9, 2009 <br /> <br /> Senate <a href=""http://help.senate.gov/BAI09A84_xml.pdf"" target=""_blank""> draft bill </a> on health care reform </p> <p> House <a href=""http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi?dbname=111_cong_bills&amp;docid=f:h3200ih.txt.pdf"" target=""_blank""> draft bill </a> on health care reform <br /> <br /> Center for American Progress, "" <a href=""http://www.americanprogress.org/issues/2009/07/lgbt_health.html"" target=""_blank""> LGBT Issues in Health Reform: Issue Brief on Making Health Reform Work for All Americans </a> ,"" by Josh Rosenthal, July 27, 2009 <br /> <br /> National Center for Lesbian Rights, "" <a href=""http://www.transgenderlaw.org/resources/translaw.htm"" target=""_blank""> Representing Transsexual Clients: Selected Legal Issues </a> ,"" fact sheet by Shannon Minter, dated Oct. 2003 <br /> <br /> American Medical Association, <a href=""http://www.ama-assn.org/ama1/pub/upload/mm/471/122.doc"" target=""_blank""> resolution </a> on transgender health care, April 18, 2008 <br /> <br /> Interview with Seth Chandler, co-director of the Health Law and Policy Institute at the University of Houston, Aug. 6, 2009 <br /> <br /> Interview with Sidney Watson, a professor with the Center for Health Law Studies at Saint Louis University, Aug. 6, 2009 <br /> <br /> Interview with Kristina Wertz, Legal Director, Transgender Law Center, Aug. 5, 2009 <br /> <br /> Interview with Susan Pisano, vice president of communications for America&rsquo;s Health Insurance Plans, Aug. 6, 2009 </p>"
9028.json,half-true,The economic turnaround started at the end of my term.,"economy,jobs",charlie-crist,,Florida,democrat,15,9,20,19,2,an interview on CNN,"<p>CNN transcript, <a href=""http://transcripts.cnn.com/TRANSCRIPTS/1403/09/sotu.01.html"">&quot;State of the Union with Candy Crowley,&quot;</a> March 9, 2014</p> <p>U.S. Bureau of Labor Statistics, <a href=""http://www.bls.gov/lau/"">Local area unemployment statistics</a>, 2007-2013</p> <p>U.S. Bureau of Economic Analysis, <a href=""http://www.bea.gov/iTable/iTable.cfm?reqid=70&amp;step=1&amp;isuri=1&amp;acrdn=1#reqid=70&amp;step=10&amp;isuri=1&amp;7007=2012,2011,2010,2009,2008,2007&amp;7093=percentchange&amp;7003=1000&amp;7035=-1&amp;7036=-1&amp;7001=11000&amp;7002=1&amp;7090=70&amp;7004=naics&amp;7005=101&amp;7006=12000"">Per capita real GDP by state</a>, 2006-2012</p> <p>U.S. Bureau of Economic Analysis, <a href=""http://www.bea.gov/iTable/iTable.cfm?reqid=70&amp;step=1&amp;isuri=1&amp;acrdn=4#reqid=70&amp;step=30&amp;isuri=1&amp;7028=3&amp;7040=-1&amp;7083=percentchange&amp;7031=0&amp;7022=21&amp;7023=0&amp;7024=non-industry&amp;7025=0&amp;7026=12000&amp;7027=2012,2011,2010,2009,2008,2007&amp;7001=421&amp;7029=21&amp;7090=70&amp;7033=-1"">GDP and personal income</a>, 2006-2012</p> <p>PolitiFact, <a href=""http://www.politifact.com/florida/statements/2013/nov/07/charlie-crist/charlie-crist-says-he-stopped-layoffs-20000-teache/"">&quot;Charlie Crist says he stopped layoffs of 20,000 teachers during recession,&quot;</a> Nov. 7, 2013</p> <p>PolitiFact, &quot;<a href=""http://www.politifact.com/florida/statements/2010/oct/29/charlie-crist/charlie-crist-claims-recovery-act-stimulus-saved-t/"">Charlie Crist claims stimulus saved thousands of firefighter, law enforcement and educator jobs,&quot; </a>Oct. 29, 2012</p> <p>PolitiFact Fl<a href=""http://www.politifact.com/florida/statements/2009/nov/05/charlie-crist/charlie-crist-says-he-didnt-endorse-stimulus-bill/"">orida, &quot;Charlie Crist says he didn&rsquo;t endorse stimulus bill,&quot; Nov. 5,</a> 2009</p> <p>Interview, Chris Lafakis, Moody&rsquo;s senior economist, March 10, 2014</p> <p>Interview, Mark Vitner, Wells Fargo senior economist, March 10, 2014</p> <p>Interview, Sean Snaith, director of the University of Central Florida&rsquo;s Institute for Economic Competitiveness, March 10, 2014</p> <p>Interview, David Denslow, professor and director of policy studies at University of Florida, Warrington College of Business Administration, Department of Economics, March 10, 2014</p> <p>Interview, Tara Sinclair, George Washington University economist, March 10, 2014</p> <p>Interview, Bill Seyfried, economics professor Rollins College, March 10, 2014</p> <p>Interview, former Sen. Steve Geller, informal adviser to Charlie Crist campaign, March 11, 2014</p>"
12465.json,TRUE,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0,3,2,5,1,a an online opinion-piece,"<p>Right Wisconsin, <a href=""http://www.rightwisconsin.com//opinion/perspectives/letting-go-of-the-status-quo"">Opinion: Letting go of the status quo</a>, May 26, 2016</p> <p>Email exchange with Alex Hummel, UW System senior vice president of communication, May 25-June 1, 2016</p> <p>Email exchange with Kit Beyer, communication director for Robin Vos, June 1, 2016</p> <p>Pro-Football-Reference.com, <a href=""http://www.pro-football-reference.com/teams/chi/"">Chicago Bears</a>, 2006-2015</p> <p>Pro-Football-Reference.com, <a href=""http://www.pro-football-reference.com/teams/gnb/"">Green Bay Packers</a>, 2006-2015</p>"
2342.json,barely-true,Jim Dunnam has not lived in the district he represents for years now.,candidates-biography,republican-party-texas,,Texas,republican,3,1,1,3,1,a press release.,"<p> The Associated Press, news article,<a href=""http://alt.coxnewsweb.com/statesman/politifact/11152002_dunnamsuedapstory.doc""> &quot;Democratic incumbent sued over residency,&quot;</a> Nov. 15, 2002 (Lexis Nexis search)</p> <p> Dallas Morning News, Trail Blazers politics blog,<a href=""http://trailblazersblog.dallasnews.com/archives/2010/08/texas-gop-challenges-dunnams-r.html""> &quot;Texas GOP questions Dunnam&#39;s residency,&quot;</a> Aug. 26, 2010 (accessed Aug. 30, 2010)</p> <p> Google Maps,<a href=""http://maps.google.com/maps?f=d&amp;source=s_d&amp;saddr=212+Shady+Trail,+McGregor,+TX&amp;daddr=County+Road+499,+Chilton,+Texas+76524&amp;hl=en&amp;geocode=FRw74AEdXQMz-ilJKf5uD4lPhjG5s8Vgm_06Ng%3BFUAu3QEdT8Yz-ilfpVo0MmVFhjEunD7o3NZEJA&amp;mra=ls&amp;sll=31.377005,-97.26636&amp;sspn=0.268493,0.617294&amp;ie=UTF8&amp;z=11""> directions from 212 Shady Trail, McGregor, Texas to 307 County Road 499 A, Chilton, Texas,</a> Sept. 1, 2010</p> <p> Interviews, State Rep. Jim Dunnam, Aug. 31 and Sept. 2, 2010</p> <p> Interview, Traci Marlin, public information coordinator, Midway Independent School District, Sept. 1, 2010</p> <p> Interview, Robie White, chief deputy, Falls County tax office, Aug. 31, 2010</p> <p> Midway Independent School District,<a href=""http://www.tasb.org/policy/pol/private/161903/pol.cfm?DisplayPage=FD%28LEGAL%29.pdf%20""> admissions policy,</a> (accessed Aug. 31, 2010)</p> <p> Republican Party of Texas,<a href=""http://alt.coxnewsweb.com/statesman/politifact/08302010_gopdunnampr.doc""> press release</a>, Aug. 30, 2010 and website photos,<a href=""http://www.donewithdunnam.com/houses""> &quot;Done With Dunnam,&quot;</a> (accessed Aug. 30, 2010)</p> <p> Texas Comptroller of Public Accounts, website, Window on State Government,<a href=""http://www.window.state.tx.us/taxinfo/proptax/exmptns.html%20""> &quot;Exemptions,&quot;</a> (accessed Sept. 2, 2010)</p> <p> Texas Legislative Council, Texas Constitution, Article 3,<a href=""http://www.statutes.legis.state.tx.us/Docs/CN/htm/CN.3.htm%20""> &quot;Legislative Department,&quot;</a> (accessed Aug. 31, 2010)</p> <p> The Texas Tribune, news articles,<a href=""http://www.texastribune.org/texas-politics/2010-legislative-races/texas-senators-voting-residency-questioned/""> &quot;Texas senator&rsquo;s voting, residency questioned,&quot;</a> &nbsp;July 28, 2010 and<a href=""http://www.texastribune.org/texas-politics/2010-legislative-races/rpt-challenges-dunnam-but-no-legal-action-planned-/""> &quot;RPT Challenges Dunnam but No Legal Action Planned,&quot;</a> Aug. 26, 2010 (accessed Aug. 31, 2010)</p> <p> Waco Tribune-Herald, news article,<a href=""http://www.wacotrib.com/news/101619818.html%20""> &quot;Republicans challenge Dunnam&#39;s residency eligibility, deny it&#39;s retaliation for Birdwell challenge,&quot;</a> Aug. 27, 2010 (accessed Aug. 31, 2010)</p>"
153.json,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a Democratic debate in Philadelphia, Pa.","U.S. Senate, <a href="" http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi?dbname=109_cong_bills&amp;docid=f:s2180is.txt.pdf""> Reid's bill last year </a> <p> U.S. Senate, <a href="" http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi?dbname=109_cong_bills&amp;docid=f:s2349pcs.txt.pdf ""> Lott's bill last year (S2349) </a> </p> <p> U.S. Senate, <a href=""http://thomas.loc.gov/cgi-bin/bdquery/z?d110:s.00230: ""> Feingold bill (Obama a cosponsor) </a> </p> <p> U.S. Senate, <a href=""http://thomas.loc.gov/cgi-bin/bdquery/z?d109:SP02942: ""> Dodd meal provision </a> </p> <p> U.S. Senate, <a href="" http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&amp;session=1&amp;vote=00019 ""> Roll call on S. 1 </a> </p> <p> U.S. Senate, <a href=""http://thomas.loc.gov/cgi-bin/bdquery/z?d110:SP00041: ""> Obama lobbying amendment </a> </p>"
5602.json,half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,oregon-lottery,,,organization,0,0,1,0,1,a website ,"<p> Oregon Lottery, &quot;<a href=""http://www.oregonlottery.org/Good/ShowProject.aspx?Project=201112_NOAA"">NOAA: Anchoring Jobs in Newport</a>&quot;<br /> Office of U.S. Sen. Ron Wyden, &quot;<a href=""http://wyden.senate.gov/newsroom/press/release/?id=BB87966B-E396-4B28-959D-D02BF6FF830C"">Wyden Statement on NOAA Decision to Move Fleet to Newport</a>,&quot; Aug. 4, 2009<br /> NOAA, &quot;<a href=""http://www.noaanews.noaa.gov/stories2009/20090804_newport.html"">NOAA Selects Newport, Ore., as New Home of Marine Operations Center-Pacific,&quot; </a>Aug. 4, 2009<br /> State of Oregon, Business Oregon, &quot;<a href=""http://www.oregon4biz.com/story.php?storyID=92"">NOAA&#39;s Pacific Research Fleet Moves to Newport</a>,&quot;<br /> The Oregonian, <a href=""http://www.oregonlive.com/news/index.ssf/2009/08/landing_the_big_one_how_newpor.html"">&quot;Landing the big one: How Newport won NOAA&#39;s Pacific Fleet</a>,&quot; Aug. 9, 2009<br /> The Oregonian, &quot;<a href=""http://www.oregonlive.com/news/index.ssf/2010/03/noaa_gives_newport_the_green_l.html"">NOAA gives Newport the green light to be home to its Pacific Fleet</a>,&quot; March 23, 2010<br /> Emails from David L. Hall, Public Affairs Officer, Office of Marine and Aviation Operations, National Oceanic and Atmospheric Administration, March 16, 2012<br /> NOAA, &quot;<a href=""http://www.seco.noaa.gov/ENV/NEPA/MOC-P/Homeport/Document-6-2-10%20MOC-P%20Final%20Determination%20Practicable%20Alternative%20Analysis-2.pdf"">Final Determination: Practicable Alternative Analysis NOAA Marine Operations Center-Pacific Lease Award</a>,&quot; June 2, 2010<br /> Interview with state Sen. Betsy Johnson, March 19, 2012<br /> Interview with Chuck Baumann, Oregon Lottery spokesman, March 20, 2012<br /> Office of state Sen. Joanne Verger, &quot;<a href=""http://www.leg.state.or.us/press_releases/verger_080409.html"">Verger praises NOAA&rsquo;s selection of Newport, Ore. as home of the agency&rsquo;s Marine Operations Center in the Pacific</a>,&quot; Aug. 3, 2009<br /> &quot;<a href=""http://www.portofbellingham.com/archives/39/08192009special.pdf"">Minutes of the Port of Bellingham Special Commission Meeting</a>,&quot; Aug. 19, 2009<br /> The Seattle Times, &quot;<a href=""http://seattletimes.nwsource.com/html/localnews/2010409974_noaa03m.html"">Plan to move NOAA fleet to Oregon hits snag</a>,&quot; Dec. 3, 2009<br /> NOAA, &quot;<a href=""http://www.moc.noaa.gov/Newport_Lease/2-18-10%20Minutes%20from%20the%20December%2014%202009%20MOC-P%20meeting.pdf"">Questions and Answers from the MOC-P Employees All-Hands Meeting</a><br /> <a href=""http://www.moc.noaa.gov/Newport_Lease/2-18-10%20Minutes%20from%20the%20December%2014%202009%20MOC-P%20meeting.pdf"">with the Deputy Under Secretary,&quot; </a>Dec. 14, 2009<br /> Office of the State Treasurer, &quot;<a href=""http://www.ost.state.or.us/news/Releases/2009/121009%20Lottery%20bonds%20will%20finance%20Newport%20work,%20Gilchrist%20forest.pdf"">New Oregon bonds will finance Newport NOAA improvements and create jobs,&quot; </a>Dec. 10, 2009</p>"
9741.json,mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",duey-stroebel,State representative,Wisconsin,republican,0,0,0,1,0,an online video,"<p>Stroebel campaign ad, <a href=""https://www.youtube.com/watch?v=pKqPQdWsdZk&amp;feature=youtu.be"">video,</a> published July 30, 2014 on YouTube</p> <p>Milwaukee Journal Sentinel stories by Thomas Content</p> <p>Interview with Andrew Kell, policy analyst, and Nathan Conrad, communications director, state Public Service Commission, Aug. 7, 2014</p> <p>Interview with Paul Bachman, Director of Research, The Beacon Hill Institute at Suffolk University, Aug. 7, 2014</p> <p>Interview with Michael Vickerman, Program &amp; Policy Director, Renew Wisconsin, Aug. 7, 2014</p> <p>Interview with Steve Rebillot, Campaign Director, Stroebel for Congress, Aug. 6, 2014</p> <p>Public Service Commission, Reports on the Rate and Revenue Impacts of the Wisconsin Renewable Portfolio Standard, <a href=""http://psc.wi.gov/apps35/ERF_view/viewdoc.aspx?docid=166782"">2012 </a>and <a href=""http://psc.wi.gov/DL/document/ViewFile.aspx?id=C6C06B509DDD4C4E9BBFEF5F409600E8"">2014</a></p> <p>Wisconsin Policy Research Institute and Beacon Hill Institute, <a href=""http://www.wpri.org/WPRI-Files/Special-Reports/Reports-Documents/Vol26No4.pdf"">&quot;The Economic Impact of Wisconsin&rsquo;s Renewable Portfolio Standard,&quot; </a>March 2013</p>"
